entrada;tipo;numero_nf;documento;macro_item_informakon;grupo_fip_wave;valor_descontado;valor_a_descontar;valor_total_nf;medicoes
156452/002;NF-e;237336;NF-e 237336;ESGOTO;9;0.00;52158.76;52158.76;
156549/002;NF-e;237634;NF-e 237634;ESGOTO;9;0.00;43898.82;43898.82;
154087/001;NF-e;233483;NF-e 233483;ESGOTO;9;6816.48;36305.92;43122.40;med3=6816.48
154955/002;NF-e;235394;NF-e 235394;ESGOTO;9;0.00;38857.72;38857.72;
153451/001;NF-e;232900;NF-e 232900;ESGOTO;9;32699.15;2384.98;35084.13;med1=26159.32;med2=6539.83
155646/001;NF-e;948;NF-e 948;ESGOTO;9;0.00;28688.40;28688.40;
155645/003;NF-e;115581;NF-e 115581;ESGOTO;9;24242.07;757.93;25000.00;med4=24242.07
156574/002;NF-e;237635;NF-e 237635;ESGOTO;9;0.00;23249.58;23249.58;
158030/001;NFS-e;75;NFS-e 75;ESGOTO;9;0.00;15840.00;15840.00;
156664/002;NF-e;9698;NF-e 9698;ESGOTO;9;0.00;15000.00;15000.00;
157503/001;NF-e;239311;NF-e 239311;ESGOTO;9;0.00;8095.75;8095.75;
157508/001;NF-e;239175;NF-e 239175;ESGOTO;9;0.00;7396.59;7396.59;
157222/001;NF-e;249237;NF-e 249237;ESGOTO;9;0.00;6832.00;6832.00;
158111/001;NF-e;1698965;NF-e 1698965;ESGOTO;9;0.00;5305.60;5305.60;
156660/002;NF-e;3040;NF-e 3040;ESGOTO;9;0.00;4481.25;4481.25;
156914/002;NF-e;3049;NF-e 3049;ESGOTO;9;0.00;4060.49;4060.49;
155883/001;NF-e;236847;NF-e 236847;ESGOTO;9;0.00;3749.53;3749.53;
154086/002;NF-e;233482;NF-e 233482;ESGOTO;9;0.00;2851.32;2851.32;
155801/003;NF-e;201;NF-e 201;ESGOTO;9;0.00;435.99;435.99;
155881/001;NF-e;236846;NF-e 236846;ESGOTO;9;0.00;426.26;426.26;
157684/001;NF-e;200699;NF-e 200699;HIDRÁULICA;10;0.00;190283.69;190283.69;
154220/001;NF-e;234177;NF-e 234177;HIDRÁULICA;10;80005.22;81793.60;161798.82;med2=28253.70;med4=51751.52
157686/001;NF-e;200700;NF-e 200700;HIDRÁULICA;10;0.00;156645.07;156645.07;
156831/001;NF-e;5095873;NF-e 5095873;HIDRÁULICA;10;0.00;50984.73;50984.73;
156830/001;NF-e;5097120;NF-e 5097120;HIDRÁULICA;10;0.00;43529.50;43529.50;
157960/001;NF-e;130624;NF-e 130624;HIDRÁULICA;10;0.00;19867.00;19867.00;
156664/003;NF-e;9698;NF-e 9698;HIDRÁULICA;10;0.00;13310.00;13310.00;
156653/001;NF-e;237898;NF-e 237898;HIDRÁULICA;10;0.00;13252.84;13252.84;
156826/001;NF-e;130360;NF-e 130360;HIDRÁULICA;10;0.00;10783.00;10783.00;
155645/004;NF-e;115581;NF-e 115581;HIDRÁULICA;10;0.00;8293.71;8293.71;
156548/001;NF-e;115811;NF-e 115811;HIDRÁULICA;10;0.00;7229.04;7229.04;
154082/001;NF-e;234176;NF-e 234176;HIDRÁULICA;10;4895.82;2002.60;6898.42;med3=4895.82
156660/003;NF-e;3040;NF-e 3040;HIDRÁULICA;10;0.00;4481.25;4481.25;
155801/004;NF-e;201;NF-e 201;HIDRÁULICA;10;0.00;4253.31;4253.31;
156553/001;NF-e;90877;NF-e 90877;HIDRÁULICA;10;0.00;2500.00;2500.00;
156914/003;NF-e;3049;NF-e 3049;HIDRÁULICA;10;0.00;2437.05;2437.05;
158040/001;NF-e;2591;NF-e 2591;HIDRÁULICA;10;0.00;2141.64;2141.64;
157027/001;NF-e;238634;NF-e 238634;PISCINA E SPA;12;0.00;23643.60;23643.60;
156602/001;NF-e;118418;NF-e 118418;LOUÇAS E METAIS;13;0.00;6610.06;6610.06;
156998/001;NF-e;122308;NF-e 122308;LOUÇAS E METAIS;13;0.00;1670.74;1670.74;
156913/001;NF-e;63042;NF-e 63042;LOUÇAS E METAIS;13;0.00;938.39;938.39;
156997/001;NF-e;26920;NF-e 26920;LOUÇAS E METAIS;13;0.00;876.61;876.61;
156603/001;NF-e;60944;NF-e 60944;LOUÇAS E METAIS;13;0.00;383.88;383.88;
157276/001;NF-e;64321;NF-e 64321;LOUÇAS E METAIS;13;0.00;259.59;259.59;
157297/001;NF-e;333;NF-e 333;LOUÇAS E METAIS;13;0.00;50.95;50.95;
156995/001;NF-e;10018;NF-e 10018;LOUÇAS E METAIS;13;0.00;15.43;15.43;
155563/001;NF-e;26891;NF-e 26891;COMBATE AO INCÊNDIO;14;56841.77;236776.46;293618.23;med4=56841.77
155765/001;NF-e;2442603;NF-e 2442603;COMBATE AO INCÊNDIO;14;0.00;82467.27;82467.27;
156704/001;NF-e;2454173;NF-e 2454173;COMBATE AO INCÊNDIO;14;0.00;22955.20;22955.20;
156496/001;NF-e;1343972;NF-e 1343972;COMBATE AO INCÊNDIO;14;0.00;21207.18;21207.18;
156498/001;NF-e;1343971;NF-e 1343971;COMBATE AO INCÊNDIO;14;0.00;15034.40;15034.40;
158204/001;NF-e;5545;NF-e 5545;COMBATE AO INCÊNDIO;14;0.00;13198.09;13198.09;
157045/006;NF-e;206;NF-e 206;COMBATE AO INCÊNDIO;14;12026.82;0.00;12026.82;med3=12026.82
157976/001;NF-e;2475010;NF-e 2475010;COMBATE AO INCÊNDIO;14;0.00;11962.08;11962.08;
155558/001;NF-e;2439690;NF-e 2439690;COMBATE AO INCÊNDIO;14;1443.22;8554.82;9998.04;med3=1443.22
157220/001;NF-e;1167874;NF-e 1167874;COMBATE AO INCÊNDIO;14;0.00;9020.55;9020.55;
157007/001;NF-e;5399;NF-e 5399;COMBATE AO INCÊNDIO;14;0.00;5618.77;5618.77;
156566/001;NF-e;27392;NF-e 27392;COMBATE AO INCÊNDIO;14;0.00;5330.07;5330.07;
157712/001;NF-e;66410;NF-e 66410;COMBATE AO INCÊNDIO;14;0.00;4260.00;4260.00;
156658/001;NF-e;248511;NF-e 248511;COMBATE AO INCÊNDIO;14;0.00;3165.10;3165.10;
157731/001;NF-e;2472615;NF-e 2472615;COMBATE AO INCÊNDIO;14;0.00;3127.20;3127.20;
158113/001;NF-e;5532;NF-e 5532;COMBATE AO INCÊNDIO;14;0.00;2259.91;2259.91;
156359/001;NF-e;209312;NF-e 209312;COMBATE AO INCÊNDIO;14;0.00;1988.52;1988.52;
156661/001;NF-e;1348085;NF-e 1348085;COMBATE AO INCÊNDIO;14;0.00;1620.36;1620.36;
157504/001;NF-e;535108;NF-e 535108;COMBATE AO INCÊNDIO;14;0.00;1166.26;1166.26;
157103/001;NF-e;2461510;NF-e 2461510;COMBATE AO INCÊNDIO;14;0.00;808.42;808.42;
157981/001;NF-e;537106;NF-e 537106;COMBATE AO INCÊNDIO;14;0.00;436.49;436.49;
157220/002;NF-e;1167874;NF-e 1167874;SISTEMA DE DETECÇÃO E ALARME DE INCÊNDIO (SDAI);16;0.00;45679.33;45679.33;
155252/001;NF-e;1160772;NF-e 1160772;SISTEMA DE DETECÇÃO E ALARME DE INCÊNDIO (SDAI);16;8774.56;4968.29;13742.85;med3=1794.90;med4=6979.66
155253/001;NF-e;236429;NF-e 236429;SISTEMA DE DETECÇÃO E ALARME DE INCÊNDIO (SDAI);16;0.00;109.35;109.35;
156555/001;NF-e;196648;NF-e 196648;GÁS;17;0.00;35768.55;35768.55;
156554/001;NF-e;196669;NF-e 196669;GÁS;17;22833.30;7478.69;30311.99;med3=20925.33;med4=1907.97
154725/001;NF-e;235130;NF-e 235130;GÁS;17;0.00;5932.09;5932.09;
153496/001;NF-e;44178;NF-e 44178;SISTEMA DE PROTEÇÃO CONTRA DESCARGA ATMOSFÉRICA;18;22751.72;0.00;22751.72;med1=9304.22;med2=3693.55;med3=527.66;med4=9226.29
153487/001;NF-e;519631;NF-e 519631;SISTEMA DE PROTEÇÃO CONTRA DESCARGA ATMOSFÉRICA;18;14922.69;0.00;14922.69;med1=14922.69
